Project,Feedback,Sentiment,Date,UserID,Mood,FeedbackVolume
School Renovation,"The project is great!",Positive,2024-01-14,123456,Happy,120
Road Construction,"Terrible delays!",Negative,2024-02-14,789101,Angry,60
Water Supply,"No progress!",Negative,2024-03-13,567890,Frustrated,90
Community Center,"The services are helpful!",Positive,2024-04-12,345678,Happy,150
School Renovation,"Needs better management.",Neutral,2024-05-13,223344,Neutral,95
Road Construction,"Work is ongoing, but slow.",Negative,2024-06-12,876543,Frustrated,75
School Renovation,"Completed successfully!",Positive,2024-07-14,123457,Happy,110
Road Construction,"Project is back on track.",Positive,2024-08-14,789102,Relieved,50
Water Supply,"Steady progress now!",Positive,2024-09-13,567891,Optimistic,85
Community Center,"More services are needed.",Negative,2024-10-12,345679,Concerned,70
School Renovation,"Renovation needed for additional buildings.",Negative,2024-11-13,223345,Worried,40
Road Construction,"Delays due to weather.",Negative,2024-12-12,876544,Frustrated,65


